file_name,schema_type,match_generation_time,merge_generation_time,Match Operator,Match Method,LLM used for matching,Merge Operator,Merge Method,LLM used for merging,api_call_cost,input_prompt_tokens,output_tokens,precision
llm_response_2025-09-25T16-01-16_694743_a751eda2.json,complex,1.9132,2.21,Operator,Multi-Step,Gemini 2.5 Flash,Instance Merge,JSON,Gemini 2.5 Flash,0.009,3309,1639,0.6
llm_response_2025-09-23T20-00-19_238266_82d80bd8.json,complex,0,0,Operator,JSON,Gemini 1.5 Flash,,,,0.00041655,1945,208,0.4
llm_response_2025-09-24T13-40-23_587713_07c5e4e5.json,complex,34.2353,89.436,Operator,JSON,Gemini 2.5 Flash,Operator,JSON,Gemini 2.5 Flash,0.0041938,3796,1222,1
llm_response_2025-09-24T13-50-53_845016_0dbcbb26.json,complex,0,0,Operator,JSON,GPT Oss 20B,,,,0.00054882,1740,1309,1
llm_response_2025-09-24T13-51-40_361547_f75e66a6.json,complex,0,0,Operator,JSON,Gemini 2.0 Flash ,,,,0.0002409,1945,116,1
llm_response_2025-09-24T13-53-03_388950_5c8271a4.json,complex,1.1302,8.4977,Operator,JSON,Gemini 2.0 Flash ,Operator,JSON,Gemini 2.0 Flash ,0.0009796,3648,1537,1
llm_response_2025-09-24T13-57-04_221332_199bfb0d.json,complex,0,0,Operator,JSON,Gemini 1.5 Flash,,,,0.00041655,1945,208,0.4
llm_response_2025-09-24T13-58-46_756867_38a51d3b.json,complex,0,0,Operator,JSON,Gemini 2.5 Flash,,,,0.0008735,1945,116,1
llm_response_2025-09-24T14-00-04_220160_f7dce397.json,complex,0,0,Operator,JSON,GPT Oss 120B,,,,0.00195406,1740,1174,1
llm_response_2025-09-24T14-00-59_252269_c32c3330.json,complex,0,0,Operator,JSON,Gemini 2.0 Flash ,,,,0.0002409,1945,116,1
llm_response_2025-09-24T14-01-23_265318_69a7a7ba.json,complex,0,0,Operator,Knowledge Graph,GPT Oss 20B,,,,0.00042048,1840,496,1
llm_response_2025-09-24T14-01-33_630894_529d28a0.json,complex,0,0,Operator,Knowledge Graph,Gemini 1.5 Flash,,,,0.0004518,2044,242,0.6
llm_response_2025-09-24T14-01-48_158009_870713db.json,complex,0,0,Operator,Knowledge Graph,Gemini 2.0 Flash ,,,,0.0002792,2044,187,0.6
